1,1189
2,1663
3,2212
4,2954
5,3607
6,4478
7,5364
8,5855
9,7796
10,9203
11,10614
12,12481
13,13669
14,12090
15,13193
16,14750
17,14861
18,17707
19,15839
20,16992
21,16490
22,14768
23,15835
24,17071
25,16063
26,17164
27,16621
28,16382
29,17335
30,17529
31,16960
32,21647
33,16679
34,16363
35,17350
36,17533
37,16069
38,15190
39,15154
40,15115
41,15583
42,15303
43,14961
44,16514
45,16940
46,15602
47,15386
48,16146
49,15476
50,15604
51,15726
52,16046
53,16128
54,15988
55,15885
56,15925
57,15779
58,16118
59,15907
60,15747
61,16135
62,15970
63,17048
64,19379
65,17915
66,16242
67,16190
68,16026
69,17522
70,17432
71,17204
72,17177
73,18492
74,19035
75,17641
76,19344
77,19411
78,19351
79,18153
80,16409
81,16652
82,16577
83,16691
84,17120
85,16054
86,15512
87,15773
88,15078
89,14938
90,14885
91,15164
92,15402
93,16237
94,16580
95,16243
96,19021
97,16099
98,16737
99,16695
100,16463
101,16859
102,16270
103,16604
104,16349
105,15895
106,17048
107,17182
108,17849
109,17620
110,16550
111,16035
112,16036
113,16089
114,16502
115,16513
116,16497
117,16315
118,16726
119,17254
120,17913
121,20640
122,23339
123,19318
124,16808
125,16097
126,17464
127,19215
128,20093
129,17590
130,18455
131,17897
132,19900
133,21759
134,21574
135,17086
136,15530
137,18024
138,16746
139,16215
140,16387
141,20282
142,18135
143,17262
144,15699
145,16008
146,15943
147,16103
148,15868
149,16232
150,15479
151,15671
152,14959
153,15152
154,14955
155,15790
156,15234
157,15201
158,15070
159,15319
160,18864
161,17608
162,16829
163,16564
164,16498
165,16462
166,14807
167,15587
168,15562
169,15565
170,14883
171,14966
172,15455
173,17235
174,15298
175,15187
176,15067
177,15005
178,15735
179,15100
180,15484
181,15353
182,15764
183,15026
184,14997
185,15066
186,15669
187,15153
188,15230
189,15245
190,15263
191,15248
192,18179
193,16350
194,15185
195,15214
196,15097
197,15540
198,16631
199,15585
200,14990
201,16227
202,16346
203,17273
204,16592
205,15704
206,16021
207,16106
208,15918
209,15277
210,16482
211,18576
212,15726
213,16706
214,15824
215,15986
216,16115
217,16465
218,16276
219,16110
220,16002
221,16024
222,15984
223,15962
224,18271
225,15582
226,15408
227,15660
228,15656
229,15837
230,15166
231,15407
232,16414
233,17475
234,16049
235,16208
236,15268
237,15161
238,15173
239,14849
240,14794
241,15691
242,15251
243,15630
244,15016
245,15599
246,16137
247,15541
248,14956
249,15150
250,15133
251,16172
252,15501
253,15070
254,15686
255,15263
256,19162
257,15323
258,14813
259,15026
260,15784
261,14777
262,14773
263,15250
264,16712
265,19460
266,19447
267,19207
268,17493
269,18287
270,16333
271,16275
272,15315
273,14467
274,14633
275,14697
276,14672
277,16695
278,14963
279,15513
280,14852
281,14617
282,14663
283,14672
284,15174
285,14683
286,14695
287,14973
288,17845
289,14704
290,15028
291,15221
292,14638
293,14706
294,15085
295,14679
296,16369
297,17127
298,15891
299,16782
300,17385
301,16183
302,15633
303,15694
304,15131
305,16521
306,14831
307,14720
308,14906
309,17369
310,14748
311,14657
312,15025
313,15183
314,14887
315,15322
316,15452
317,14894
318,14956
319,15290
320,17875
321,14834
322,16485
323,15871
324,14909
325,14734
326,14973
327,16875
328,15706
329,14608
330,14569
331,14512
332,15180
333,17088
334,15643
335,14935
336,15345
337,17023
338,16045
339,15139
340,15092
341,15308
342,14769
343,14932
344,15052
345,14871
346,14881
347,14790
348,14869
349,14707
350,14802
351,14934
352,17404
353,14982
354,15027
355,15150
356,14940
357,15081
358,15111
359,15191
360,15152
361,14922
362,14709
363,15412
364,18007
365,20666
366,17872
367,16951
368,17457
369,16396
370,16854
371,17968
372,16344
373,16199
374,15620
375,15978
376,15539
377,15150
378,17640
379,18384
380,18323
381,17606
382,18690
383,15015
384,17476
385,14624
386,14601
387,16356
388,15592
389,14691
390,14402
391,14557
392,14390
393,14797
394,14407
395,14927
396,15381
397,15143
398,15578
399,14599
400,14737
401,16436
402,16527
403,16015
404,16263
405,16046
406,17205
407,16857
408,15027
409,15140
410,15486
411,15789
412,15585
413,15480
414,15291
415,16171
416,19152
417,15091
418,14941
419,15072
420,14767
421,15210
422,14843
423,15344
424,15417
425,15501
426,15034
427,14460
428,14378
429,14596
430,15898
431,15587
432,15026
433,14963
434,16399
435,17174
436,16062
437,16293
438,15267
439,15825
440,14179
441,13994
442,14782
443,14088
444,13981
445,14327
446,15102
447,15435
448,19191
449,15022
450,15975
451,15348
452,14204
453,14344
454,13984
455,14089
456,14327
457,14280
458,14289
459,14159
460,14161
461,14066
462,13860
463,13847
464,14704
465,15747
466,14003
467,14248
468,14452
469,14253
470,14109
471,13745
472,13965
473,13552
474,13838
475,13718
476,13715
477,13737
478,13561
479,13643
480,17835
481,13730
482,13785
483,13699
484,13537
485,13734
486,13354
487,13255
488,13415
489,14240
490,13313
491,13064
492,13537
493,13375
494,12760
495,12819
496,12862
497,13178
498,14265
499,12966
500,13307
501,13340
502,14000
503,13438
504,12815
505,12873
506,13214
507,13019
508,13307
509,12918
510,13213
511,13271
512,21005
513,13074
